selected,id,job,area,skill,skills,title,task,description,link,breakdown,microtasks,ngo_url,tutorial,idmicro,active
1,10,Graphic Designer,Design,newsletter,"Graphic Design
Brand Development & Messaging
Visual Arts
Graphic Design/Visual Identity
Graphic Design / Print",Graphic Designer Needed!,Marketing material designs for educational programs,"Organization needs different pieces for the same event: a postcard, flier/ poster, program booklet design.

General and/or Educational Brochures/Flyers: They have educational programs that are tied to some of our larger events that we need to create informational pieces to help promote those programs.

New Logo: At some point we would like to unveil a new logo.",https://www.volunteermatch.org/search/opp741419.jsp,"1. Create the following tasks for http://desertdancetheatre.org/
        -flyer: http://www.wikihow.com/Make-a-Flyer
        -brochures: http://www.wikihow.com/Make-Brochures-on-Microsoft-Word
        -posters: http://www.wikihow.com/Design-Posters-Online
        -postcards: http://www.wikihow.com/Make-Post-Cards-in-Word
        -booklet: http://www.wikihow.com/Make-a-Booklet-on-Microsoft-Word
        -logo: http://www.wikihow.com/Design-a-Logo
                 http://www.wikihow.com/Create-a-Logo-in-Adobe-Illustrator",,https://binayfoundation.org/,http://www.wikihow.com/Write-a-Good-Newsletter,11,1
1,10,Graphic Designer,Design,brochure,"Graphic Design
Brand Development & Messaging
Visual Arts
Graphic Design/Visual Identity
Graphic Design / Print",Graphic Designer Needed!,Marketing material designs for educational programs,"Organization needs different pieces for the same event: a postcard, flier/ poster, program booklet design.

General and/or Educational Brochures/Flyers: They have educational programs that are tied to some of our larger events that we need to create informational pieces to help promote those programs.

New Logo: At some point we would like to unveil a new logo.",https://www.volunteermatch.org/search/opp741419.jsp,"1. Create the following tasks for http://desertdancetheatre.org/
        -flyer: http://www.wikihow.com/Make-a-Flyer
        -brochures: http://www.wikihow.com/Make-Brochures-on-Microsoft-Word
        -posters: http://www.wikihow.com/Design-Posters-Online
        -postcards: http://www.wikihow.com/Make-Post-Cards-in-Word
        -booklet: http://www.wikihow.com/Make-a-Booklet-on-Microsoft-Word
        -logo: http://www.wikihow.com/Design-a-Logo
                 http://www.wikihow.com/Create-a-Logo-in-Adobe-Illustrator",,https://binayfoundation.org/,http://www.wikihow.com/Make-Brochures-on-Microsoft-Word,12,1
1,11,Graphic Designer,Design,flyer,"Web Design
Website Project Management
Website Programming
Database Administration
Basic Computer Skills
Organizational skills
Communication skills
High integrity and trust",Website Administrator - Flexible hours/Virtual!,Website Project Management,"Website Administrator volunteer is responsible for providing ongoing website maintenance and support to the organization.

Some of the typical job duties will include:

Updating, creating, and building content for the NHEG website
Help with website maintenance on a weekly basis
Take the lead on web-related projects
Be willing to commit to 3-5 hours a week",https://www.volunteermatch.org/search/opp2301304.jsp,"1. Create the following tasks for http://www.newheightseducation.org/
        -Web Content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
        -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website",,http://desertdancetheatre.org/,http://www.wikihow.com/Make-a-Flyer,13,1
1,11,Graphic Designer,Design,brochure,"Web Design
Website Project Management
Website Programming
Database Administration
Basic Computer Skills
Organizational skills
Communication skills
High integrity and trust",Website Administrator - Flexible hours/Virtual!,Website Project Management,"Website Administrator volunteer is responsible for providing ongoing website maintenance and support to the organization.

Some of the typical job duties will include:

Updating, creating, and building content for the NHEG website
Help with website maintenance on a weekly basis
Take the lead on web-related projects
Be willing to commit to 3-5 hours a week",https://www.volunteermatch.org/search/opp2301304.jsp,"1. Create the following tasks for http://www.newheightseducation.org/
        -Web Content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
        -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website",,http://desertdancetheatre.org/,http://www.wikihow.com/Make-Brochures-on-Microsoft-Word,14,1
1,11,Graphic Designer,Design,posters,"Web Design
Website Project Management
Website Programming
Database Administration
Basic Computer Skills
Organizational skills
Communication skills
High integrity and trust",Website Administrator - Flexible hours/Virtual!,Website Project Management,"Website Administrator volunteer is responsible for providing ongoing website maintenance and support to the organization.

Some of the typical job duties will include:

Updating, creating, and building content for the NHEG website
Help with website maintenance on a weekly basis
Take the lead on web-related projects
Be willing to commit to 3-5 hours a week",https://www.volunteermatch.org/search/opp2301304.jsp,"1. Create the following tasks for http://www.newheightseducation.org/
        -Web Content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
        -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website",,http://desertdancetheatre.org/,http://www.wikihow.com/Make-a-Poster-Using-Microsoft-Word,15,1
1,11,Graphic Designer,Design,booklet,"Web Design
Website Project Management
Website Programming
Database Administration
Basic Computer Skills
Organizational skills
Communication skills
High integrity and trust",Website Administrator - Flexible hours/Virtual!,Website Project Management,"Website Administrator volunteer is responsible for providing ongoing website maintenance and support to the organization.

Some of the typical job duties will include:

Updating, creating, and building content for the NHEG website
Help with website maintenance on a weekly basis
Take the lead on web-related projects
Be willing to commit to 3-5 hours a week",https://www.volunteermatch.org/search/opp2301304.jsp,"1. Create the following tasks for http://www.newheightseducation.org/
        -Web Content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
        -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website",,http://desertdancetheatre.org/,http://www.wikihow.com/Make-a-Booklet-on-Microsoft-Word,16,1
1,11,Graphic Designer,Design,postcards,"Web Design
Website Project Management
Website Programming
Database Administration
Basic Computer Skills
Organizational skills
Communication skills
High integrity and trust",Website Administrator - Flexible hours/Virtual!,Website Project Management,"Website Administrator volunteer is responsible for providing ongoing website maintenance and support to the organization.

Some of the typical job duties will include:

Updating, creating, and building content for the NHEG website
Help with website maintenance on a weekly basis
Take the lead on web-related projects
Be willing to commit to 3-5 hours a week",https://www.volunteermatch.org/search/opp2301304.jsp,"1. Create the following tasks for http://www.newheightseducation.org/
        -Web Content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
        -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website",,http://desertdancetheatre.org/,http://www.wikihow.com/Make-Post-Cards-in-Word,17,1
1,13,Marketing Specialist,Marketing,web content,"Web Design
Website Project Management
E-commerce
Website Programming
Search Engine Optimization (SEO)",Project HEAL Website Volunteer,Website programming & content activities,"
Organization needs the following activities:
Make weekly updates and/or corrections to website content
Update weekly or monthly chapter pages and events and related information
Work to resolve any technical issues with website either by yourself or with vendors
Assist with blog technical issues, if necessary.
",https://www.volunteermatch.org/search/opp2107455.jsp,"1. Create the following tasks for http://www.theprojectheal.org
       -Web content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
       -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website
       -Avoiding common mistakes in blogs: http://www.wikihow.com/Avoid-Common-Beginner-Blogger-Mistakes",,http://www.savethewater.org,http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website,18,1
1,11,Graphic Designer,Design,logo,"Web Design
Website Project Management
Website Programming
Database Administration
Basic Computer Skills
Organizational skills
Communication skills
High integrity and trust",Website Administrator - Flexible hours/Virtual!,Website Project Management,"Website Administrator volunteer is responsible for providing ongoing website maintenance and support to the organization.

Some of the typical job duties will include:

Updating, creating, and building content for the NHEG website
Help with website maintenance on a weekly basis
Take the lead on web-related projects
Be willing to commit to 3-5 hours a week",https://www.volunteermatch.org/search/opp2301304.jsp,"1. Create the following tasks for http://www.newheightseducation.org/
        -Web Content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
        -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website",,http://desertdancetheatre.org/,"http://www.wikihow.com/Design-a-Logo
http://www.wikihow.com/Create-a-Logo-in-Adobe-Illustrator",19,1
1,13,Software Engineer,IT,optimizing websites,"Web Design
Website Project Management
E-commerce
Website Programming
Search Engine Optimization (SEO)",Project HEAL Website Volunteer,Website programming & content activities,"
Organization needs the following activities:
Make weekly updates and/or corrections to website content
Update weekly or monthly chapter pages and events and related information
Work to resolve any technical issues with website either by yourself or with vendors
Assist with blog technical issues, if necessary.
",https://www.volunteermatch.org/search/opp2107455.jsp,"1. Create the following tasks for http://www.theprojectheal.org
       -Web content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
       -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website
       -Avoiding common mistakes in blogs: http://www.wikihow.com/Avoid-Common-Beginner-Blogger-Mistakes",,http://www.savethewater.org,http://www.wikihow.com/Optimize-Your-Website,20,1
0,13,Business Administrator,Manager,manage multiple projects,"Web Design
Website Project Management
E-commerce
Website Programming
Search Engine Optimization (SEO)",Project HEAL Website Volunteer,Website programming & content activities,"
Organization needs the following activities:
Make weekly updates and/or corrections to website content
Update weekly or monthly chapter pages and events and related information
Work to resolve any technical issues with website either by yourself or with vendors
Assist with blog technical issues, if necessary.
",https://www.volunteermatch.org/search/opp2107455.jsp,"1. Create the following tasks for http://www.theprojectheal.org
       -Web content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
       -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website
       -Avoiding common mistakes in blogs: http://www.wikihow.com/Avoid-Common-Beginner-Blogger-Mistakes",,http://www.savethewater.org,http://www.wikihow.com/Manage-Multiple-Projects,21,1
1,12,Marketing Specialist,Marketing,web content,"
Administrative Support
Customer Service
Multi-Tasking
Office Management
Project Management
Management
Empowerment
Communication skills
Organizational thinking
Public relations skills
Teamwork
",Education - Project Leader: Website Education Material (Editor),Project Management,"Organization needs the following activities:
Manage on average 2-3 volunteers within the Website Education Material team, holding them accountable for their work.
Plan and conduct monthly talent management team meeting, including sending agenda, taking meeting minutes, and follow up
Increasing SEO of our website using keywords as developed by our Web Analysts
Edit and approve all educational content for our website, in the areas of:
Junior resources
Senior resources
Intermediate
STEM education
Water facts
Chemical facts
Microscopic Images
Microorganism videos
General water resources
Tribal water resources
Fracking infographics
DILOS Program
Provide monthly report of your team’s progress to the President and Vice President.
Attend monthly Education group meeting.",https://www.volunteermatch.org/search/opp2175949.jsp,"1. Create the following tasks for http://www.savethewater.org 
       -Web Content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
       -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website
       -Manage multiple projects: http://www.wikihow.com/Manage-Multiple-Projects
",,http://www.newheightseducation.org/,http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website,22,1
1,12,Software Engineer,IT,optimizing websites,"
Administrative Support
Customer Service
Multi-Tasking
Office Management
Project Management
Management
Empowerment
Communication skills
Organizational thinking
Public relations skills
Teamwork
",Education - Project Leader: Website Education Material (Editor),Project Management,"Organization needs the following activities:
Manage on average 2-3 volunteers within the Website Education Material team, holding them accountable for their work.
Plan and conduct monthly talent management team meeting, including sending agenda, taking meeting minutes, and follow up
Increasing SEO of our website using keywords as developed by our Web Analysts
Edit and approve all educational content for our website, in the areas of:
Junior resources
Senior resources
Intermediate
STEM education
Water facts
Chemical facts
Microscopic Images
Microorganism videos
General water resources
Tribal water resources
Fracking infographics
DILOS Program
Provide monthly report of your team’s progress to the President and Vice President.
Attend monthly Education group meeting.
",https://www.volunteermatch.org/search/opp2175949.jsp,"1. Create the following tasks for http://www.savethewater.org 
       -Web Content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
       -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website
       -Manage multiple projects: http://www.wikihow.com/Manage-Multiple-Projects
",,http://www.newheightseducation.org/,http://www.wikihow.com/Optimize-Your-Website,23,1
1,14,Software Engineer,IT,optimizing websites,"Search Engine Optimization (SEO)
Grant Writing / Research
Verbal / Written Communication
English",Website Content Writer Wanted!,Website Content development and SEO Optimization,"We are seeking a website content writer to draft content for our new upcoming website. Our new minimalist, clear, spare, and highly navigable website will deliver content in such an appealing and effective manner that our visitors have a clear idea of who we are and what we do.

RESPONSIBILITIES

Work with existing material to produce content for new website
Rewrite existing website content to incorporate into our new website
Uses keywords for SEO optimization
Collaborate with designers to create design best for content delivery",https://www.volunteermatch.org/search/opp1645502.jsp,"1. Create the following tasks for http://internationalprofs.org
       -Web content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
       -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website",,http://www.theprojectheal.org,http://www.wikihow.com/Optimize-Your-Website,24,1
1,14,Marketing Specialist,Marketing,web content,"Search Engine Optimization (SEO)
Grant Writing / Research
Verbal / Written Communication
English",Website Content Writer Wanted!,Website Content development and SEO Optimization,"We are seeking a website content writer to draft content for our new upcoming website. Our new minimalist, clear, spare, and highly navigable website will deliver content in such an appealing and effective manner that our visitors have a clear idea of who we are and what we do.

RESPONSIBILITIES

Work with existing material to produce content for new website
Rewrite existing website content to incorporate into our new website
Uses keywords for SEO optimization
Collaborate with designers to create design best for content delivery",https://www.volunteermatch.org/search/opp1645502.jsp,"1. Create the following tasks for http://internationalprofs.org
       -Web content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
       -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website",,http://www.theprojectheal.org,http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website,25,1
1,14,Marketing Specialist,Marketing,Avoiding common mistakes in blogs,"Search Engine Optimization (SEO)
Grant Writing / Research
Verbal / Written Communication
English",Website Content Writer Wanted!,Website Content development and SEO Optimization,"We are seeking a website content writer to draft content for our new upcoming website. Our new minimalist, clear, spare, and highly navigable website will deliver content in such an appealing and effective manner that our visitors have a clear idea of who we are and what we do.

RESPONSIBILITIES

Work with existing material to produce content for new website
Rewrite existing website content to incorporate into our new website
Uses keywords for SEO optimization
Collaborate with designers to create design best for content delivery",https://www.volunteermatch.org/search/opp1645502.jsp,"1. Create the following tasks for http://internationalprofs.org
       -Web content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
       -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website",,http://www.theprojectheal.org,http://www.wikihow.com/Avoid-Common-Beginner-Blogger-Mistakes,26,1
1,15,Software Engineer,IT,web content,"Internet Research
Research
Analytics
IT Quick learning skills
Communication skills
Digital Marketing skills
Multitasking
Empowerment
Public Relations skills
Teamwork
Hardworking
",Education: Associate: Website Education Material Researcher & Writer,Writting and researching educational content for website,"Organizations needs a volunteer who:
Assist in the writing and researching of educational content for our website.
PRIMARY RESPONSIBILITIES
Assist in the writing of educational content for our website, in the areas of:
Junior resources
Senior resources
Intermediate
STEM education
Water facts
Chemical facts
Microscopic Images
Microorganism videos
General water resources
Tribal water resources
Fracking infographics
DILOS Program
Increasing SEO of our website using keywords as developed by our web analysts
Attend monthly Education Group meeting.",https://www.volunteermatch.org/search/opp2202151.jsp,"1. Create the following tasks for http://www.savethewater.org
       -Web content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
       -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website
       -Research: http://www.wikihow.com/Do-Qualitative-Research
       -Writting researches: http://www.wikihow.com/Write-a-Research-Proposal",,http://internationalprofs.org,http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website,27,1
1,16,Software Engineer,IT,web content,"Web Design
Website Project Management
Website Programming
Digital Marketing good practices
Communication skills
Writing skills
Detail oriented and highly organized
",Volunteer Website Manager,Content development and website management,"Organization needs the following activities:

* Manage and update website content, including updates to events page
* Post news updates (blog posts) and videos to website
* Work closely with technical and marketing members of our organization",https://www.volunteermatch.org/search/opp2153729.jsp,"1. Create the following tasks for http://hoolanapua.org
      -Web content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
      -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website
      -Writting a Blog with SEO: http://www.wikihow.com/Write-a-Blog-for-SEO
",,http://www.savethewater.org,http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website,28,1
1,15,Software Engineer,IT,optimizing websites,"Internet Research
Research
Analytics
IT Quick learning skills
Communication skills
Digital Marketing skills
Multitasking
Empowerment
Public Relations skills
Teamwork
Hardworking
",Education: Associate: Website Education Material Researcher & Writer,Writting and researching educational content for website,"Organizations needs a volunteer who:
Assist in the writing and researching of educational content for our website.
PRIMARY RESPONSIBILITIES
Assist in the writing of educational content for our website, in the areas of:
Junior resources
Senior resources
Intermediate
STEM education
Water facts
Chemical facts
Microscopic Images
Microorganism videos
General water resources
Tribal water resources
Fracking infographics
DILOS Program
Increasing SEO of our website using keywords as developed by our web analysts
Attend monthly Education Group meeting.",https://www.volunteermatch.org/search/opp2202151.jsp,"1. Create the following tasks for http://www.savethewater.org
       -Web content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
       -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website
       -Research: http://www.wikihow.com/Do-Qualitative-Research
       -Writting researches: http://www.wikihow.com/Write-a-Research-Proposal",,http://internationalprofs.org,http://www.wikihow.com/Optimize-Your-Website,29,1
1,16,Software Engineer,IT,optimizing websites,"Web Design
Website Project Management
Website Programming
Digital Marketing good practices
Communication skills
Writing skills
Detail oriented and highly organized
",Volunteer Website Manager,Content development and website management,"Organization needs the following activities:

* Manage and update website content, including updates to events page
* Post news updates (blog posts) and videos to website
* Work closely with technical and marketing members of our organization",https://www.volunteermatch.org/search/opp2153729.jsp,"1. Create the following tasks for http://hoolanapua.org
      -Web content: http://www.wikihow.com/Develop-Professional-Content-for-a-New-Website
      -Optimizing websites: http://www.wikihow.com/Optimize-Your-Website
      -Writting a Blog with SEO: http://www.wikihow.com/Write-a-Blog-for-SEO
",,http://www.savethewater.org,http://www.wikihow.com/Optimize-Your-Website,30,1
